"plate","conc_uM","ph_buffer","sample_id","enzyme","activity","batch"
"1_CB_ST2_7",150,7,"ST2_CV_B","BG",53.8395076519153,"r_script"
"1_CB_ST2_7",150,7,"ST2_CV_B","Cello",6.5277602344075,"r_script"
"1_CB_ST2_7",18.6,7,"ST2_CV_B","BG",22.2083360264799,"r_script"
"1_CB_ST2_7",18.6,7,"ST2_CV_B","Cello",3.89865500103347,"r_script"
"1_CB_ST2_7",210,7,"ST2_CV_B","BG",62.2046869058477,"r_script"
"1_CB_ST2_7",210,7,"ST2_CV_B","Cello",6.91891993640362,"r_script"
"1_CB_ST2_7",300,7,"ST2_CV_B","BG",52.0668690624795,"r_script"
"1_CB_ST2_7",300,7,"ST2_CV_B","Cello",7.00582512643365,"r_script"
"1_CB_ST2_7",37.2,7,"ST2_CV_B","BG",24.9402183856582,"r_script"
"1_CB_ST2_7",37.2,7,"ST2_CV_B","Cello",3.72739081992425,"r_script"
"1_CB_ST2_7",4.8,7,"ST2_CV_B","BG",0.510775435038296,"r_script"
"1_CB_ST2_7",4.8,7,"ST2_CV_B","Cello",0.258186640511453,"r_script"
"1_CB_ST2_7",75,7,"ST2_CV_B","BG",44.241881523771,"r_script"
"1_CB_ST2_7",75,7,"ST2_CV_B","Cello",5.75651184507186,"r_script"
"1_CB_ST2_7",9.6,7,"ST2_CV_B","BG",18.1602366498292,"r_script"
"1_CB_ST2_7",9.6,7,"ST2_CV_B","Cello",3.89092331848749,"r_script"
"2_CB_ST2_5.6",150,5.6,"ST2_CV_B","BG",107.81044621614,"r_script"
"2_CB_ST2_5.6",150,5.6,"ST2_CV_B","Cello",47.411658528936,"r_script"
"2_CB_ST2_5.6",18.6,5.6,"ST2_CV_B","BG",21.8255769889649,"r_script"
"2_CB_ST2_5.6",18.6,5.6,"ST2_CV_B","Cello",11.9862715213498,"r_script"
"2_CB_ST2_5.6",210,5.6,"ST2_CV_B","BG",153.873719449277,"r_script"
"2_CB_ST2_5.6",210,5.6,"ST2_CV_B","Cello",23.4698671197865,"r_script"
"2_CB_ST2_5.6",300,5.6,"ST2_CV_B","BG",168.166898201591,"r_script"
"2_CB_ST2_5.6",300,5.6,"ST2_CV_B","Cello",39.3801632080205,"r_script"
"2_CB_ST2_5.6",37.2,5.6,"ST2_CV_B","BG",79.0045343052586,"r_script"
"2_CB_ST2_5.6",37.2,5.6,"ST2_CV_B","Cello",26.2555405722303,"r_script"
"2_CB_ST2_5.6",4.8,5.6,"ST2_CV_B","BG",0.808558667959825,"r_script"
"2_CB_ST2_5.6",4.8,5.6,"ST2_CV_B","Cello",5.15758014676458,"r_script"
"2_CB_ST2_5.6",75,5.6,"ST2_CV_B","BG",99.0755746027283,"r_script"
"2_CB_ST2_5.6",75,5.6,"ST2_CV_B","Cello",35.5423102155914,"r_script"
"2_CB_ST2_5.6",9.6,5.6,"ST2_CV_B","BG",0.744601690424261,"r_script"
"2_CB_ST2_5.6",9.6,5.6,"ST2_CV_B","Cello",1.3792873897444,"r_script"
"3_NP_ST2_7_A",150,7,"ST2_CV_B","NAG",9.94143589829511,"r_script"
"3_NP_ST2_7_A",150,7,"ST2_CV_B","P",340.19430875369,"r_script"
"3_NP_ST2_7_A",18.6,7,"ST2_CV_B","NAG",2.61021808390322,"r_script"
"3_NP_ST2_7_A",18.6,7,"ST2_CV_B","P",74.2975795794394,"r_script"
"3_NP_ST2_7_A",210,7,"ST2_CV_B","NAG",13.6113694716314,"r_script"
"3_NP_ST2_7_A",210,7,"ST2_CV_B","P",410.729817562187,"r_script"
"3_NP_ST2_7_A",300,7,"ST2_CV_B","NAG",17.5228345187046,"r_script"
"3_NP_ST2_7_A",300,7,"ST2_CV_B","P",403.265334137445,"r_script"
"3_NP_ST2_7_A",37.2,7,"ST2_CV_B","NAG",3.92701245847735,"r_script"
"3_NP_ST2_7_A",37.2,7,"ST2_CV_B","P",119.600460336123,"r_script"
"3_NP_ST2_7_A",4.8,7,"ST2_CV_B","NAG",-0.265314982271093,"r_script"
"3_NP_ST2_7_A",4.8,7,"ST2_CV_B","P",2.40183193427144,"r_script"
"3_NP_ST2_7_A",75,7,"ST2_CV_B","NAG",5.87409682531741,"r_script"
"3_NP_ST2_7_A",75,7,"ST2_CV_B","P",196.779849836619,"r_script"
"3_NP_ST2_7_A",9.6,7,"ST2_CV_B","NAG",0.651807956907721,"r_script"
"3_NP_ST2_7_A",9.6,7,"ST2_CV_B","P",49.0280992348687,"r_script"
"4_NP_ST2_5.6",150,5.6,"ST2_CV_B","NAG",29.9513601145657,"r_script"
"4_NP_ST2_5.6",150,5.6,"ST2_CV_B","P",214.000943371386,"r_script"
"4_NP_ST2_5.6",18.6,5.6,"ST2_CV_B","NAG",6.32564420416232,"r_script"
"4_NP_ST2_5.6",18.6,5.6,"ST2_CV_B","P",184.679081336506,"r_script"
"4_NP_ST2_5.6",210,5.6,"ST2_CV_B","NAG",25.1269600508911,"r_script"
"4_NP_ST2_5.6",210,5.6,"ST2_CV_B","P",192.824530200107,"r_script"
"4_NP_ST2_5.6",300,5.6,"ST2_CV_B","NAG",30.2801138166155,"r_script"
"4_NP_ST2_5.6",300,5.6,"ST2_CV_B","P",292.60107696843,"r_script"
"4_NP_ST2_5.6",37.2,5.6,"ST2_CV_B","NAG",15.1794001337781,"r_script"
"4_NP_ST2_5.6",37.2,5.6,"ST2_CV_B","P",205.73419110152,"r_script"
"4_NP_ST2_5.6",4.8,5.6,"ST2_CV_B","NAG",2.58714055036729,"r_script"
"4_NP_ST2_5.6",4.8,5.6,"ST2_CV_B","P",105.11869727424,"r_script"
"4_NP_ST2_5.6",75,5.6,"ST2_CV_B","NAG",17.5742605058619,"r_script"
"4_NP_ST2_5.6",75,5.6,"ST2_CV_B","P",200.306111021253,"r_script"
"4_NP_ST2_5.6",9.6,5.6,"ST2_CV_B","NAG",1.16412809832832,"r_script"
"4_NP_ST2_5.6",9.6,5.6,"ST2_CV_B","P",91.9664755810815,"r_script"
"5_CB_RRV3_7",150,7,"RRV3_SH_B","BG",95.3435954713166,"r_script"
"5_CB_RRV3_7",150,7,"RRV3_SH_B","Cello",13.2421842546034,"r_script"
"5_CB_RRV3_7",18.6,7,"RRV3_SH_B","BG",46.317113743383,"r_script"
"5_CB_RRV3_7",18.6,7,"RRV3_SH_B","Cello",11.1900744700031,"r_script"
"5_CB_RRV3_7",210,7,"RRV3_SH_B","BG",88.4323287734971,"r_script"
"5_CB_RRV3_7",210,7,"RRV3_SH_B","Cello",11.8849188080589,"r_script"
"5_CB_RRV3_7",300,7,"RRV3_SH_B","BG",92.2744406728396,"r_script"
"5_CB_RRV3_7",300,7,"RRV3_SH_B","Cello",8.32048192358989,"r_script"
"5_CB_RRV3_7",37.2,7,"RRV3_SH_B","BG",63.7336675139128,"r_script"
"5_CB_RRV3_7",37.2,7,"RRV3_SH_B","Cello",15.015910904554,"r_script"
"5_CB_RRV3_7",4.8,7,"RRV3_SH_B","BG",24.2435135478524,"r_script"
"5_CB_RRV3_7",4.8,7,"RRV3_SH_B","Cello",2.86136940716589,"r_script"
"5_CB_RRV3_7",75,7,"RRV3_SH_B","BG",84.7835422027777,"r_script"
"5_CB_RRV3_7",75,7,"RRV3_SH_B","Cello",17.3612614079997,"r_script"
"5_CB_RRV3_7",9.6,7,"RRV3_SH_B","BG",29.8168366704135,"r_script"
"5_CB_RRV3_7",9.6,7,"RRV3_SH_B","Cello",10.1393406616329,"r_script"
"6_NP_RRV3_7",150,7,"RRV3_SH_B","NAG",16.362266456361,"r_script"
"6_NP_RRV3_7",150,7,"RRV3_SH_B","P",87.682803230582,"r_script"
"6_NP_RRV3_7",18.6,7,"RRV3_SH_B","NAG",11.3940203153017,"r_script"
"6_NP_RRV3_7",18.6,7,"RRV3_SH_B","P",51.7225624202618,"r_script"
"6_NP_RRV3_7",210,7,"RRV3_SH_B","NAG",9.8502997871545,"r_script"
"6_NP_RRV3_7",210,7,"RRV3_SH_B","P",89.7424529086257,"r_script"
"6_NP_RRV3_7",300,7,"RRV3_SH_B","NAG",9.56175967466096,"r_script"
"6_NP_RRV3_7",300,7,"RRV3_SH_B","P",83.3526831938504,"r_script"
"6_NP_RRV3_7",37.2,7,"RRV3_SH_B","NAG",12.7267496669494,"r_script"
"6_NP_RRV3_7",37.2,7,"RRV3_SH_B","P",73.6010689750919,"r_script"
"6_NP_RRV3_7",4.8,7,"RRV3_SH_B","NAG",3.65086219619937,"r_script"
"6_NP_RRV3_7",4.8,7,"RRV3_SH_B","P",11.2192192587516,"r_script"
"6_NP_RRV3_7",75,7,"RRV3_SH_B","NAG",12.1356411971608,"r_script"
"6_NP_RRV3_7",75,7,"RRV3_SH_B","P",80.9586402214822,"r_script"
"6_NP_RRV3_7",9.6,7,"RRV3_SH_B","NAG",3.60279639480589,"r_script"
"6_NP_RRV3_7",9.6,7,"RRV3_SH_B","P",35.7081313969321,"r_script"
"7_CB_RRV3_7.5",150,7.5,"RRV3_SH_B","BG",89.8047092997281,"r_script"
"7_CB_RRV3_7.5",150,7.5,"RRV3_SH_B","Cello",12.5071750614083,"r_script"
"7_CB_RRV3_7.5",18.6,7.5,"RRV3_SH_B","BG",33.9390271359724,"r_script"
"7_CB_RRV3_7.5",18.6,7.5,"RRV3_SH_B","Cello",7.99973678813401,"r_script"
"7_CB_RRV3_7.5",210,7.5,"RRV3_SH_B","BG",80.0092242026922,"r_script"
"7_CB_RRV3_7.5",210,7.5,"RRV3_SH_B","Cello",11.8773074154466,"r_script"
"7_CB_RRV3_7.5",300,7.5,"RRV3_SH_B","BG",75.8184956740672,"r_script"
"7_CB_RRV3_7.5",300,7.5,"RRV3_SH_B","Cello",11.271180888632,"r_script"
"7_CB_RRV3_7.5",37.2,7.5,"RRV3_SH_B","BG",69.6950844341318,"r_script"
"7_CB_RRV3_7.5",37.2,7.5,"RRV3_SH_B","Cello",12.7122915337522,"r_script"
"7_CB_RRV3_7.5",4.8,7.5,"RRV3_SH_B","BG",17.3347626718949,"r_script"
"7_CB_RRV3_7.5",4.8,7.5,"RRV3_SH_B","Cello",6.81898901292389,"r_script"
"7_CB_RRV3_7.5",75,7.5,"RRV3_SH_B","BG",73.4147623349973,"r_script"
"7_CB_RRV3_7.5",75,7.5,"RRV3_SH_B","Cello",12.6558019082682,"r_script"
"7_CB_RRV3_7.5",9.6,7.5,"RRV3_SH_B","BG",30.7698464935483,"r_script"
"7_CB_RRV3_7.5",9.6,7.5,"RRV3_SH_B","Cello",2.40612885455221,"r_script"
"8_NP_RRV3_7.5",150,7.5,"RRV3_SH_B","NAG",2.52722625725108,"r_script"
"8_NP_RRV3_7.5",150,7.5,"RRV3_SH_B","P",47.2265693554755,"r_script"
"8_NP_RRV3_7.5",18.6,7.5,"RRV3_SH_B","NAG",0.728320664320577,"r_script"
"8_NP_RRV3_7.5",18.6,7.5,"RRV3_SH_B","P",37.7680437780119,"r_script"
"8_NP_RRV3_7.5",210,7.5,"RRV3_SH_B","NAG",3.36670675544166,"r_script"
"8_NP_RRV3_7.5",210,7.5,"RRV3_SH_B","P",50.3115816739719,"r_script"
"8_NP_RRV3_7.5",300,7.5,"RRV3_SH_B","NAG",1.97334033207245,"r_script"
"8_NP_RRV3_7.5",300,7.5,"RRV3_SH_B","P",56.4014118679644,"r_script"
"8_NP_RRV3_7.5",37.2,7.5,"RRV3_SH_B","NAG",1.15614840025798,"r_script"
"8_NP_RRV3_7.5",37.2,7.5,"RRV3_SH_B","P",44.9751188891002,"r_script"
"8_NP_RRV3_7.5",4.8,7.5,"RRV3_SH_B","NAG",0.788005538660743,"r_script"
"8_NP_RRV3_7.5",4.8,7.5,"RRV3_SH_B","P",26.8322437145156,"r_script"
"8_NP_RRV3_7.5",75,7.5,"RRV3_SH_B","NAG",1.97089413122378,"r_script"
"8_NP_RRV3_7.5",75,7.5,"RRV3_SH_B","P",50.6793454669891,"r_script"
"8_NP_RRV3_7.5",9.6,7.5,"RRV3_SH_B","NAG",0.634274829785335,"r_script"
"8_NP_RRV3_7.5",9.6,7.5,"RRV3_SH_B","P",31.9284668358112,"r_script"
